,Company,Link,Pitch,Joined,Location,Market,Website,Employees,Stage,Total_raised
46,SV Liquidity,https://angel.co/hf-liquidity,Fund providing access to IPO opportunities,Oct ’16,San Francisco,B2B,svlq.io,1-10,-,-
47,Tetra (YC W17),https://angel.co/tetra,AI notetaker for meetings,Mar ’17,San Francisco,Speech Recognition,asktetra.com,1-10,-,-
48,Zipline International,https://angel.co/zipline-international-1,,Jun ’17,-,-,,51-200,Series B,"$25,000,000"
49,Subdream Studios,https://angel.co/subdream-studios,Social VR Game,Nov ’16,San Mateo,Augmented Reality,subdreamstudios.com,1-10,-,-
50,Stedi,https://angel.co/stedi,Platform to automate billions of dollars in transactions between retailers and suppliers.,Dec ’16,Boulder,B2B,stedi.com,1-10,Seed,"$3,700,000"
51,Magnar,https://angel.co/magnar,Portuguese food-ordering marketplace,Jan ’17,Lisbon,Mobile Commerce,magnarapp.com,-,-,-
52,Princeton Ventures,https://angel.co/princeton-ventures,Princeton Ventures leads growth equity investments of $10 million to over $100 million.,Jan ’17,Princeton,Technology,princetonventures.com,1-10,-,-
53,hulu - Beijing,https://angel.co/hulu-beijing, American subscription video on demand service,Jan ’17,Beijing,TV Production,hulu.com,-,-,-
54,Kylie.ai,https://angel.co/kylieai,Automating Enterprise Conversations Through Cloning Technology,Jan ’17,San Francisco,SaaS,kylie.ai,1-10,-,-
55,Distributed Systems,https://angel.co/cleargraphinc,OS for dapps,Jan ’17,San Francisco,Identity,distributedsystems.com,1-10,-,-
56,Clipboard Health (YC W2017),https://angel.co/clipboardhealth,We help nurses find jobs they love. ,Mar ’17,San Francisco,Marketplaces,clipboardhealth.com,1-10,-,-
57,Chowbotics,https://angel.co/chowbotics,Robots for food service,Mar ’17,Redwood City,Restaurants,chowbotics.com,11-50,Seed,"$6,300,000"
58,KF20 Capital,https://angel.co/kf20-capital,,Apr ’17,San Francisco,-,,,-,-
59,WPP Ventures,https://angel.co/wpp-ventures,WPP's Strategic Corporate Venture Fund,Apr ’17,London,Retail Technology,wppventures.com,,-,-
60,SALIDO,https://angel.co/salido,restaurant Operating System (rOS),Sep ’12,New York City,Hospitality,salido.com,11-50,,"$5,000,000"
61,Headout,https://angel.co/headout,Experience the world on-demand,Feb ’14,San Francisco,Mobile Commerce,headout.com,51-200,Seed,"$1,800,000"
62,HDS Capital,https://angel.co/hds-capital,"HDS invests in and mentors startups at the intersection of technology, retail and fashion.",Oct ’14,New York City,Brand Marketing,hdscapital.com,1-10,-,-
63,Sourcery,https://angel.co/sourcery,Mint.com + Mint Bills for Business,Oct ’14,San Francisco,Wholesale,getsourcery.com,11-50,Series A,"$7,500,000"
64,uMake,https://angel.co/umake,set your ideas free,Oct ’14,San Francisco,Product Design,umake.xyz,1-10,Seed,"$5,200,000"
65,Pana,https://angel.co/pana,Modern corporate travel platform,Oct ’14,Denver,Mobile Commerce,pana.com,11-50,Seed,"$1,550,000"
66,WorkBright,https://angel.co/workbright,Onboarding HR paperwork without the paper. Or the work.,Oct ’14,Boulder,B2B,workbright.com,1-10,-,-
67,Ravti,https://angel.co/ravti,HVAC Management Platform for Commercial Real Estate,Oct ’14,Tampa,SaaS,ravti.com,1-10,-,-
68,Lassy Project,https://angel.co/lassy-project-1,Find Lost Children. Faster.,Oct ’14,The Woodlands,Europe,lassyproject.com,,-,-
69,MileIQ,https://angel.co/mileiq,The #1 mileage logging service.,Oct ’14,Redmond,Business Services,mileiq.com,51-200,Acquired,"$14,000,000"
70,Rebag,https://angel.co/rebagg,Endless access to luxury handbags,Oct ’14,New York City,Collaborative Consumption,rebag.com,51-200,Series B,"$28,300,000"
71,Vault12,https://angel.co/vault12,"Distributed, decentralized and serverless digital custody for all your cryptocurrency.",Nov ’14,Mountain View,Blockchains,vault12.com,1-10,-,-
72,Smarking,https://angel.co/smarking,Data Analytics for Parking,Dec ’14,San Francisco,Predictive Analytics,smarking.com,11-50,Seed,"$3,000,000"
73,Wootric,https://angel.co/wootric,Measure and boost customer happiness.,Oct ’14,San Francisco,B2B,wootric.com,11-50,Seed,"$2,600,000"
74,Kickback,https://angel.co/kickback,,Mar ’15,San Francisco,Skill Gaming,kickback.com,11-50,-,-
75,YesPath,https://angel.co/yespath,SaaS for Account Based Marketing,Dec ’14,San Francisco,Marketing Automation,yespath.com,1-10,Seed,"$1,700,000"
76,Boxed,https://angel.co/boxed,Online Wholesale,Dec ’14,New York City,E-Commerce,boxed.com,51-200,Series C,"$132,600,000"
77,Xfers,https://angel.co/xfers,Internet Banking Payment System,Jun ’15,Singapore,Payments,xfers.com,1-10,Seed,"$2,500,000"
78,Swell,https://angel.co/swellapp,The to-do list that literally works for you.,Aug ’15,New York City,Productivity Software,tryswell.com,1-10,-,-
79,Percolata,https://angel.co/percolata,Sense-able Retail Staffing,Jan ’15,Palo Alto,-,percolata.com,,Seed,"$5,000,000"
80,Sourcery Technologies,https://angel.co/sourcery-technologies,,Jul ’16,-,-,-,-,,"$5,000,000"
81,Armory,https://angel.co/armory,"Ship Better Software, Faster",Sep ’16,San Mateo,Developer Tools,armory.io,11-50,-,-
82,Techmate,https://angel.co/techmate,Your Technology Concierge (YC S16),Jul ’16,San Francisco,Tech Field Support,jointechmate.com,1-10,-,-
83,Aella Credit,https://angel.co/aella-credit,Instant Credit Solutions for Africans,Aug ’16,San Francisco,-,aellacredit.com,11-50,-,-
84,Flutterwave,https://angel.co/flutterwave,,Aug ’16,-,-,flutterwave.com,-,Seed,-
85,Vulcun,https://angel.co/vulcun-2,,Sep ’16,-,-,-,-,Series A,"$12,000,000"
86,SV Liquidity,https://angel.co/hf-liquidity,Fund providing access to IPO opportunities,Oct ’16,San Francisco,B2B,svlq.io,1-10,-,-
87,Tetra (YC W17),https://angel.co/tetra,AI notetaker for meetings,Mar ’17,San Francisco,Speech Recognition,asktetra.com,1-10,-,-
88,Zipline International,https://angel.co/zipline-international-1,,Jun ’17,-,-,,51-200,Series B,"$25,000,000"
89,Subdream Studios,https://angel.co/subdream-studios,Social VR Game,Nov ’16,San Mateo,Augmented Reality,subdreamstudios.com,1-10,-,-
90,Stedi,https://angel.co/stedi,Platform to automate billions of dollars in transactions between retailers and suppliers.,Dec ’16,Boulder,B2B,stedi.com,1-10,Seed,"$3,700,000"
91,Magnar,https://angel.co/magnar,Portuguese food-ordering marketplace,Jan ’17,Lisbon,Mobile Commerce,magnarapp.com,-,-,-
92,Princeton Ventures,https://angel.co/princeton-ventures,Princeton Ventures leads growth equity investments of $10 million to over $100 million.,Jan ’17,Princeton,Technology,princetonventures.com,1-10,-,-
93,hulu - Beijing,https://angel.co/hulu-beijing, American subscription video on demand service,Jan ’17,Beijing,TV Production,hulu.com,-,-,-
94,Kylie.ai,https://angel.co/kylieai,Automating Enterprise Conversations Through Cloning Technology,Jan ’17,San Francisco,SaaS,kylie.ai,1-10,-,-
95,Distributed Systems,https://angel.co/cleargraphinc,OS for dapps,Jan ’17,San Francisco,Identity,distributedsystems.com,1-10,-,-
96,Clipboard Health (YC W2017),https://angel.co/clipboardhealth,We help nurses find jobs they love. ,Mar ’17,San Francisco,Marketplaces,clipboardhealth.com,1-10,-,-
97,Chowbotics,https://angel.co/chowbotics,Robots for food service,Mar ’17,Redwood City,Restaurants,chowbotics.com,11-50,Seed,"$6,300,000"
98,KF20 Capital,https://angel.co/kf20-capital,,Apr ’17,San Francisco,-,,,-,-
99,WPP Ventures,https://angel.co/wpp-ventures,WPP's Strategic Corporate Venture Fund,Apr ’17,London,Retail Technology,wppventures.com,,-,-
100,SALIDO,https://angel.co/salido,restaurant Operating System (rOS),Sep ’12,New York City,Hospitality,salido.com,11-50,,"$5,000,000"
101,Headout,https://angel.co/headout,Experience the world on-demand,Feb ’14,San Francisco,Mobile Commerce,headout.com,51-200,Seed,"$1,800,000"
102,HDS Capital,https://angel.co/hds-capital,"HDS invests in and mentors startups at the intersection of technology, retail and fashion.",Oct ’14,New York City,Brand Marketing,hdscapital.com,1-10,-,-
103,Sourcery,https://angel.co/sourcery,Mint.com + Mint Bills for Business,Oct ’14,San Francisco,Wholesale,getsourcery.com,11-50,Series A,"$7,500,000"
104,uMake,https://angel.co/umake,set your ideas free,Oct ’14,San Francisco,Product Design,umake.xyz,1-10,Seed,"$5,200,000"
105,Pana,https://angel.co/pana,Modern corporate travel platform,Oct ’14,Denver,Mobile Commerce,pana.com,11-50,Seed,"$1,550,000"
106,WorkBright,https://angel.co/workbright,Onboarding HR paperwork without the paper. Or the work.,Oct ’14,Boulder,B2B,workbright.com,1-10,-,-
107,Ravti,https://angel.co/ravti,HVAC Management Platform for Commercial Real Estate,Oct ’14,Tampa,SaaS,ravti.com,1-10,-,-
108,Lassy Project,https://angel.co/lassy-project-1,Find Lost Children. Faster.,Oct ’14,The Woodlands,Europe,lassyproject.com,,-,-
109,MileIQ,https://angel.co/mileiq,The #1 mileage logging service.,Oct ’14,Redmond,Business Services,mileiq.com,51-200,Acquired,"$14,000,000"
110,Rebag,https://angel.co/rebagg,Endless access to luxury handbags,Oct ’14,New York City,Collaborative Consumption,rebag.com,51-200,Series B,"$28,300,000"
111,Vault12,https://angel.co/vault12,"Distributed, decentralized and serverless digital custody for all your cryptocurrency.",Nov ’14,Mountain View,Blockchains,vault12.com,1-10,-,-
112,Smarking,https://angel.co/smarking,Data Analytics for Parking,Dec ’14,San Francisco,Predictive Analytics,smarking.com,11-50,Seed,"$3,000,000"
113,Wootric,https://angel.co/wootric,Measure and boost customer happiness.,Oct ’14,San Francisco,B2B,wootric.com,11-50,Seed,"$2,600,000"
114,Kickback,https://angel.co/kickback,,Mar ’15,San Francisco,Skill Gaming,kickback.com,11-50,-,-
115,YesPath,https://angel.co/yespath,SaaS for Account Based Marketing,Dec ’14,San Francisco,Marketing Automation,yespath.com,1-10,Seed,"$1,700,000"
116,Boxed,https://angel.co/boxed,Online Wholesale,Dec ’14,New York City,E-Commerce,boxed.com,51-200,Series C,"$132,600,000"
117,Xfers,https://angel.co/xfers,Internet Banking Payment System,Jun ’15,Singapore,Payments,xfers.com,1-10,Seed,"$2,500,000"
118,Swell,https://angel.co/swellapp,The to-do list that literally works for you.,Aug ’15,New York City,Productivity Software,tryswell.com,1-10,-,-
119,Percolata,https://angel.co/percolata,Sense-able Retail Staffing,Jan ’15,Palo Alto,-,percolata.com,,Seed,"$5,000,000"
120,Sourcery Technologies,https://angel.co/sourcery-technologies,,Jul ’16,-,-,-,-,,"$5,000,000"
121,Armory,https://angel.co/armory,"Ship Better Software, Faster",Sep ’16,San Mateo,Developer Tools,armory.io,11-50,-,-
122,Techmate,https://angel.co/techmate,Your Technology Concierge (YC S16),Jul ’16,San Francisco,Tech Field Support,jointechmate.com,1-10,-,-
123,Aella Credit,https://angel.co/aella-credit,Instant Credit Solutions for Africans,Aug ’16,San Francisco,-,aellacredit.com,11-50,-,-
124,Flutterwave,https://angel.co/flutterwave,,Aug ’16,-,-,flutterwave.com,-,Seed,-
125,Vulcun,https://angel.co/vulcun-2,,Sep ’16,-,-,-,-,Series A,"$12,000,000"
126,SV Liquidity,https://angel.co/hf-liquidity,Fund providing access to IPO opportunities,Oct ’16,San Francisco,B2B,svlq.io,1-10,-,-
127,Tetra (YC W17),https://angel.co/tetra,AI notetaker for meetings,Mar ’17,San Francisco,Speech Recognition,asktetra.com,1-10,-,-
128,Zipline International,https://angel.co/zipline-international-1,,Jun ’17,-,-,,51-200,Series B,"$25,000,000"
129,Subdream Studios,https://angel.co/subdream-studios,Social VR Game,Nov ’16,San Mateo,Augmented Reality,subdreamstudios.com,1-10,-,-
130,Stedi,https://angel.co/stedi,Platform to automate billions of dollars in transactions between retailers and suppliers.,Dec ’16,Boulder,B2B,stedi.com,1-10,Seed,"$3,700,000"
131,Magnar,https://angel.co/magnar,Portuguese food-ordering marketplace,Jan ’17,Lisbon,Mobile Commerce,magnarapp.com,-,-,-
132,Princeton Ventures,https://angel.co/princeton-ventures,Princeton Ventures leads growth equity investments of $10 million to over $100 million.,Jan ’17,Princeton,Technology,princetonventures.com,1-10,-,-
133,hulu - Beijing,https://angel.co/hulu-beijing, American subscription video on demand service,Jan ’17,Beijing,TV Production,hulu.com,-,-,-
134,Kylie.ai,https://angel.co/kylieai,Automating Enterprise Conversations Through Cloning Technology,Jan ’17,San Francisco,SaaS,kylie.ai,1-10,-,-
135,Distributed Systems,https://angel.co/cleargraphinc,OS for dapps,Jan ’17,San Francisco,Identity,distributedsystems.com,1-10,-,-
136,Clipboard Health (YC W2017),https://angel.co/clipboardhealth,We help nurses find jobs they love. ,Mar ’17,San Francisco,Marketplaces,clipboardhealth.com,1-10,-,-
137,Chowbotics,https://angel.co/chowbotics,Robots for food service,Mar ’17,Redwood City,Restaurants,chowbotics.com,11-50,Seed,"$6,300,000"
138,KF20 Capital,https://angel.co/kf20-capital,,Apr ’17,San Francisco,-,,,-,-
139,WPP Ventures,https://angel.co/wpp-ventures,WPP's Strategic Corporate Venture Fund,Apr ’17,London,Retail Technology,wppventures.com,,-,-
140,SALIDO,https://angel.co/salido,restaurant Operating System (rOS),Sep ’12,New York City,Hospitality,salido.com,11-50,,"$5,000,000"
141,Headout,https://angel.co/headout,Experience the world on-demand,Feb ’14,San Francisco,Mobile Commerce,headout.com,51-200,Seed,"$1,800,000"
142,HDS Capital,https://angel.co/hds-capital,"HDS invests in and mentors startups at the intersection of technology, retail and fashion.",Oct ’14,New York City,Brand Marketing,hdscapital.com,1-10,-,-
143,Sourcery,https://angel.co/sourcery,Mint.com + Mint Bills for Business,Oct ’14,San Francisco,Wholesale,getsourcery.com,11-50,Series A,"$7,500,000"
144,uMake,https://angel.co/umake,set your ideas free,Oct ’14,San Francisco,Product Design,umake.xyz,1-10,Seed,"$5,200,000"
145,Pana,https://angel.co/pana,Modern corporate travel platform,Oct ’14,Denver,Mobile Commerce,pana.com,11-50,Seed,"$1,550,000"
146,WorkBright,https://angel.co/workbright,Onboarding HR paperwork without the paper. Or the work.,Oct ’14,Boulder,B2B,workbright.com,1-10,-,-
147,Ravti,https://angel.co/ravti,HVAC Management Platform for Commercial Real Estate,Oct ’14,Tampa,SaaS,ravti.com,1-10,-,-
148,Lassy Project,https://angel.co/lassy-project-1,Find Lost Children. Faster.,Oct ’14,The Woodlands,Europe,lassyproject.com,,-,-
149,MileIQ,https://angel.co/mileiq,The #1 mileage logging service.,Oct ’14,Redmond,Business Services,mileiq.com,51-200,Acquired,"$14,000,000"
150,Rebag,https://angel.co/rebagg,Endless access to luxury handbags,Oct ’14,New York City,Collaborative Consumption,rebag.com,51-200,Series B,"$28,300,000"
151,Vault12,https://angel.co/vault12,"Distributed, decentralized and serverless digital custody for all your cryptocurrency.",Nov ’14,Mountain View,Blockchains,vault12.com,1-10,-,-
152,Smarking,https://angel.co/smarking,Data Analytics for Parking,Dec ’14,San Francisco,Predictive Analytics,smarking.com,11-50,Seed,"$3,000,000"
153,Wootric,https://angel.co/wootric,Measure and boost customer happiness.,Oct ’14,San Francisco,B2B,wootric.com,11-50,Seed,"$2,600,000"
154,Kickback,https://angel.co/kickback,,Mar ’15,San Francisco,Skill Gaming,kickback.com,11-50,-,-
155,YesPath,https://angel.co/yespath,SaaS for Account Based Marketing,Dec ’14,San Francisco,Marketing Automation,yespath.com,1-10,Seed,"$1,700,000"
156,Boxed,https://angel.co/boxed,Online Wholesale,Dec ’14,New York City,E-Commerce,boxed.com,51-200,Series C,"$132,600,000"
157,Xfers,https://angel.co/xfers,Internet Banking Payment System,Jun ’15,Singapore,Payments,xfers.com,1-10,Seed,"$2,500,000"
158,Swell,https://angel.co/swellapp,The to-do list that literally works for you.,Aug ’15,New York City,Productivity Software,tryswell.com,1-10,-,-
159,Percolata,https://angel.co/percolata,Sense-able Retail Staffing,Jan ’15,Palo Alto,-,percolata.com,,Seed,"$5,000,000"
160,Flow Labs,https://angel.co/flow-labs,Smarter water management for commercial real estate; Forbes 30 Under 30 - Energy,Nov ’15,Sunnyvale,Water,flowlabs.com,1-10,Seed,"$852,000"
161,datawire.io,https://angel.co/datawire-io,microservices,Nov ’14,San Francisco,Cloud Infrastructure,datawire.io,11-50,-,-
162,SUNDAR,https://angel.co/sundar-6,SaaS Sourcing for Apparel Industry,Nov ’14,New York City,B2B,sundar.io,11-50,,"$1,300,000"
163,Outreach,https://angel.co/outreach,Sales Engagement Platform,Nov ’14,Tampa,Sales Automation,outreach.io,201-500,Series C,"$59,000,000"
164,Requested,https://angel.co/requested,Dine and dash in style,Mar ’15,Sacramento,Hospitality,requestedapp.com,1-10,Acquired,"$845,000"
165,Evertoon,https://angel.co/evertoon,Make 3D animated movies starring celebrities,Nov ’14,San Francisco,Mobile Video,evertoon.com,1-10,Acquired,"$1,700,000"
166,Super,https://angel.co/super,Subscription service provides care & repair for your home,Nov ’14,San Francisco,Local Based Services,hellosuper.com,11-50,Seed,"$3,600,000"
167,Reveal,https://angel.co/reveal-4,"The ""Ask Me Anything"" social network using cryptocurrency to transform social media",Dec ’14,San Francisco,Photo Sharing,reveal.me,1-10,Seed,"$1,500,000"
168,BBG Ventures,https://angel.co/bbg-ventures,An early stage venture capital fund,Nov ’14,New York City,Curated Web,Website,,-,-
169,TetraScience,https://angel.co/tetrascience,Data platform for life sciences,Sep ’15,Boston,Technology,tetrascience.com,11-50,Series A,"$10,000,000"
170,Far East Ventures,https://angel.co/far-east-ventures,,Dec ’14,Singapore,Technology,fareast.ventures,,-,-
171,Chai,https://angel.co/chai,Biotechnology for the Real World,Dec ’14,Santa Clara,Synthetic Biology,chaibio.com,11-50,Seed,"$2,800,000"
172,Kindly Care,https://angel.co/kindly-care,Marketplace for senior home care,Jan ’15,San Francisco,Marketplaces,kindlycare.com,51-200,Seed,"$4,100,000"
173,Brainchild & Co.,https://angel.co/brainchild-1,Building services and products for consumers,Jan ’15,New York City,Beauty,brainchild.co,11-50,-,-
174,Jobsinthemoney,https://angel.co/jobsinthemoney,,Jan ’15,-,-,-,-,-,-
175,OneEleven,https://angel.co/oneeleven-111,Post-Seed Stage Tech Accelerator,Mar ’15,Toronto,Technology,oneeleven.com,1-10,-,-
176,Signatures Capital,https://angel.co/signatures-capital,Supporting founders committed to inventing the future.,Jan ’15,San Francisco,Venture Capital,signaturescapital.com,1-10,-,-
177,Staffly,https://angel.co/staffly,On-demand Retail Staffing Marketplace,Sep ’15,San Francisco,Business Services,Staffly.com,1-10,Seed,"$2,610,000"
178,Plate IQ,https://angel.co/plateiq,Redefining restaurant operations (YC S15),Aug ’15,San Francisco,Predictive Analytics,plateiq.com,11-50,Seed,"$5,300,000"
179,Shred Video,https://angel.co/shred-video,1-button video editing,Nov ’15,San Francisco,Artificial Intelligence,shredvideo.com,,-,-
180,Sourcery Technologies,https://angel.co/sourcery-technologies,,Jul ’16,-,-,-,-,,"$5,000,000"
181,Armory,https://angel.co/armory,"Ship Better Software, Faster",Sep ’16,San Mateo,Developer Tools,armory.io,11-50,-,-
182,Techmate,https://angel.co/techmate,Your Technology Concierge (YC S16),Jul ’16,San Francisco,Tech Field Support,jointechmate.com,1-10,-,-
183,Aella Credit,https://angel.co/aella-credit,Instant Credit Solutions for Africans,Aug ’16,San Francisco,-,aellacredit.com,11-50,-,-
184,Flutterwave,https://angel.co/flutterwave,,Aug ’16,-,-,flutterwave.com,-,Seed,-
185,Vulcun,https://angel.co/vulcun-2,,Sep ’16,-,-,-,-,Series A,"$12,000,000"
186,SV Liquidity,https://angel.co/hf-liquidity,Fund providing access to IPO opportunities,Oct ’16,San Francisco,B2B,svlq.io,1-10,-,-
187,Tetra (YC W17),https://angel.co/tetra,AI notetaker for meetings,Mar ’17,San Francisco,Speech Recognition,asktetra.com,1-10,-,-
188,Zipline International,https://angel.co/zipline-international-1,,Jun ’17,-,-,,51-200,Series B,"$25,000,000"
189,Subdream Studios,https://angel.co/subdream-studios,Social VR Game,Nov ’16,San Mateo,Augmented Reality,subdreamstudios.com,1-10,-,-
190,Stedi,https://angel.co/stedi,Platform to automate billions of dollars in transactions between retailers and suppliers.,Dec ’16,Boulder,B2B,stedi.com,1-10,Seed,"$3,700,000"
191,Magnar,https://angel.co/magnar,Portuguese food-ordering marketplace,Jan ’17,Lisbon,Mobile Commerce,magnarapp.com,-,-,-
192,Princeton Ventures,https://angel.co/princeton-ventures,Princeton Ventures leads growth equity investments of $10 million to over $100 million.,Jan ’17,Princeton,Technology,princetonventures.com,1-10,-,-
193,hulu - Beijing,https://angel.co/hulu-beijing, American subscription video on demand service,Jan ’17,Beijing,TV Production,hulu.com,-,-,-
194,Kylie.ai,https://angel.co/kylieai,Automating Enterprise Conversations Through Cloning Technology,Jan ’17,San Francisco,SaaS,kylie.ai,1-10,-,-
195,Distributed Systems,https://angel.co/cleargraphinc,OS for dapps,Jan ’17,San Francisco,Identity,distributedsystems.com,1-10,-,-
196,Clipboard Health (YC W2017),https://angel.co/clipboardhealth,We help nurses find jobs they love. ,Mar ’17,San Francisco,Marketplaces,clipboardhealth.com,1-10,-,-
197,Chowbotics,https://angel.co/chowbotics,Robots for food service,Mar ’17,Redwood City,Restaurants,chowbotics.com,11-50,Seed,"$6,300,000"
198,KF20 Capital,https://angel.co/kf20-capital,,Apr ’17,San Francisco,-,,,-,-
199,WPP Ventures,https://angel.co/wpp-ventures,WPP's Strategic Corporate Venture Fund,Apr ’17,London,Retail Technology,wppventures.com,,-,-
200,SALIDO,https://angel.co/salido,restaurant Operating System (rOS),Sep ’12,New York City,Hospitality,salido.com,11-50,,"$5,000,000"
201,Headout,https://angel.co/headout,Experience the world on-demand,Feb ’14,San Francisco,Mobile Commerce,headout.com,51-200,Seed,"$1,800,000"
